country,import,year,code
China,55.89,2017,CHN
United States,19.14,2017,USA
United Arab Emirates,16.68,2017,ARE
Saudi Arabia,15.44,2017,SAU
Switzerland,14.93,2017,CHE
Indonesia,12.21,2017,IDN
Iraq,11.51,2017,IRQ
Australia,10.08,2017,AUS
Germany,9.8,2017,DEU
Hong Kong,8.24,2017,HKG
Japan,7.99,2017,JPN
Iran,7.66,2017,IRN
Malaysia,6.57,2017,MYS
Nigeria,6.33,2017,NGA
Russia,6.13,2017,RUS
Qatar,5.94,2017,QAT
Singapore,5.26,2017,SGP
South Africa,5.09,2017,ZAF
Thailand,5.06,2017,THA
Kuwait,4.72,2017,KWT
France,4.71,2017,FRA
Belgium,4.57,2017,BEL
Venezuela,4.29,2017,VEN
Brazil,3.94,2017,BRA
Canada,3.53,2017,CAN
United Kingdom,3.43,2017,GBR
Italy,3.4,2017,ITA
Vietnam,3.29,2017,VNM
Angola,3.07,2017,AGO
Oman,2.76,2017,OMN
Mexico,2.64,2017,MEX
Argentina,1.89,2017,ARG
Ghana,1.89,2017,GHA
Netherlands,1.79,2017,NLD
Ukraine,1.76,2017,UKR
Peru,1.75,2017,PER
Israel,1.5,2017,ISR
Chile,1.38,2017,CHL
Botswana,1.28,2017,BWA
Spain,1.25,2017,ESP
Sweden,1.11,2017,SWE
Egypt,0.9586399999999999,2017,EGY
Finland,0.95725,2017,FIN
Algeria,0.9317799999999999,2017,DZA
Turkey,0.8588899999999999,2017,TUR
Kazakhstan,0.78001,2017,KAZ
Zambia,0.77147,2017,ZMB
Mozambique,0.7601,2017,MOZ
Tanzania,0.7001000000000001,2017,TZA
Jordan,0.6900499999999999,2017,JOR
Austria,0.66911,2017,AUT
Norway,0.6381,2017,NOR
Morocco,0.6049500000000001,2017,MAR
Philippines,0.57916,2017,PHL
Sri Lanka,0.57035,2017,LKA
Equatorial Guinea,0.56686,2017,GNQ
Poland,0.55377,2017,POL
Ireland,0.54139,2017,IRL
Burkina Faso,0.53106,2017,BFA
New Zealand,0.49782,2017,NZL
Bolivia,0.49736,2017,BOL
Czech Republic,0.49226,2017,CZE
Senegal,0.48816000000000004,2017,SEN
Dominican Republic,0.46793,2017,DOM
Bangladesh,0.45941000000000004,2017,BGD
Colombia,0.43751999999999996,2017,COL
Guinea,0.4155,2017,GIN
Denmark,0.40108,2017,DNK
Pakistan,0.38397000000000003,2017,PAK
Azerbaijan,0.35643,2017,AZE
Brunei,0.35149,2017,BRN
Sudan,0.33925,2017,SDN
Afghanistan,0.33056,2017,AFG
Nepal,0.31125,2017,NPL
Bahrain,0.30569999999999997,2017,BHR
Romania,0.3018,2017,ROU
Gabon,0.24722,2017,GAB
Bhutan,0.24169,2017,BTN
Cameroon,0.20628,2017,CMR
Hungary,0.19699,2017,HUN
Benin,0.19326,2017,BEN
Ecuador,0.16527,2017,ECU
Laos,0.15102000000000002,2017,LAO
Portugal,0.14686000000000002,2017,PRT
Lithuania,0.13696,2017,LTU
Papua New Guinea,0.13306,2017,PNG
Togo,0.13201,2017,TGO
Paraguay,0.12897999999999998,2017,PRY
Belarus,0.12262,2017,BLR
Bulgaria,0.11109999999999999,2017,BGR
Mali,0.10643000000000001,2017,MLI
Tunisia,0.09974,2017,TUN
Madagascar,0.09348999999999999,2017,MDG
Uzbekistan,0.09017,2017,UZB
Slovenia,0.08081,2017,SVN
Yemen,0.07820999999999999,2017,YEM
Suriname,0.06985,2017,SUR
South Sudan,0.06704,2017,SSD
Slovakia,0.06576,2017,SVK
Greece,0.06519,2017,GRC
Lesotho,0.062340000000000007,2017,LSO
Costa Rica,0.05866,2017,CRI
Chad,0.05643,2017,TCD
Kenya,0.05319,2017,KEN
Solomon Islands,0.04985,2017,SLB
Zimbabwe,0.04949,2017,ZWE
Estonia,0.0444,2017,EST
Latvia,0.04307,2017,LVA
Uganda,0.04254,2017,UGA
Namibia,0.04244,2017,NAM
Trinidad And Tobago,0.04102,2017,TTO
Tajikistan,0.038799999999999994,2017,TJK
Cambodia,0.038200000000000005,2017,KHM
Panama,0.0373,2017,PAN
Luxembourg,0.03651,2017,LUX
Liberia,0.03372,2017,LBR
Albania,0.03286,2017,ALB
Ethiopia,0.03134,2017,ETH
Kyrgyzstan,0.03053,2017,KGZ
Lebanon,0.02816,2017,LBN
Macedonia,0.027100000000000003,2017,MKD
Libya,0.024579999999999998,2017,LBY
Croatia,0.024550000000000002,2017,HRV
Georgia,0.02336,2017,GEO
Comoros,0.02144,2017,COM
Syria,0.02133,2017,SYR
Uruguay,0.020149999999999998,2017,URY
Niger,0.019579999999999997,2017,NER
Serbia,0.019059999999999997,2017,SRB
Sierra Leone,0.01864,2017,SLE
Malawi,0.01445,2017,MWI
Mauritius,0.01436,2017,MUS
Turkmenistan,0.013099999999999999,2017,TKM
Malta,0.01289,2017,MLT
Guatemala,0.01134,2017,GTM
Honduras,0.01109,2017,HND
Burundi,0.01057,2017,BDI
Cyprus,0.009720000000000001,2017,CYP
New Caledonia,0.009519999999999999,2017,NCL
El Salvador,0.00744,2017,SLV
Swaziland,0.00698,2017,SWZ
Bosnia And Herzegovina,0.00691,2017,BIH
Macau,0.00638,2017,MAC
Curacao,0.00574,2017,CUW
Haiti,0.00553,2017,HTI
Cayman Islands,0.00523,2017,CYM
Iceland,0.00497,2017,ISL
Guyana,0.00477,2017,GUY
Maldives,0.00425,2017,MDV
Nicaragua,0.00349,2017,NIC
Jamaica,0.00348,2017,JAM
Djibouti,0.0034300000000000003,2017,DJI
Rwanda,0.00332,2017,RWA
Somalia,0.0028599999999999997,2017,SOM
Mauritania,0.00273,2017,MRT
Central African Republic,0.0022299999999999998,2017,CAF
Eritrea,0.0019399999999999999,2017,ERI
Cuba,0.00163,2017,CUB
Mongolia,0.00151,2017,MNG
Belize,0.00116,2017,BLZ
Moldova,0.0010500000000000002,2017,MDA
Palau,0.00075981,2017,PLW
Seychelles,0.0006902400000000001,2017,SYC
San Marino,0.00053788,2017,SMR
British Virgin Islands,0.00050738,2017,VGB
Armenia,0.00044207,2017,ARM
Aruba,0.00031208,2017,ABW
Fiji,0.00028719,2017,FJI
Saint Lucia,0.00026488,2017,LCA
Samoa,0.00023849,2017,WSM
Dominica,0.00019277,2017,DMA
Grenada,0.00018108000000000002,2017,GRD
Northern Mariana Islands,0.00017218,2017,MNP
Anguilla,0.00013276,2017,AIA
Marshall Islands,0.00010865999999999999,2017,MHL
Barbados,7.681e-05,2017,BRB
French Polynesia,5.224e-05,2017,PYF
Antigua and Barbuda,2.352e-05,2017,ATG
Greenland,1.066e-05,2017,GRL
Montenegro,9.9e-06,2017,MNE
Cook Islands,7.37e-06,2017,COK
Gibraltar,5.6e-06,2017,GIB
Tuvalu,1.19e-06,2017,TUV
Vanuatu,49.0,2017,VUT
